level,n,batch,env,success,obj_x,obj_y,obj_yaw,cab_x,cab_y,cab_yaw,cab_joint_max,cab_yaw_dev,carry_dist
L1,10,0,0,False,0.194317722320557,0.4537711143493652,0.24743682354649,0.9000000000000004,0.0,-3.141592653589793,0.0,0.0,0.8389849231355184
L1,10,0,1,False,0.2548049926757816,0.4977949857711792,0.5241742065268357,0.9000000000000004,0.0,-3.141592653589793,0.0,0.0,0.8149088570723889
L1,10,0,2,False,0.1820959091186527,0.5291240215301514,-0.7496354381811143,0.9000000000000004,0.0,-3.141592653589793,0.0,0.0,0.8918287469376699
L1,10,0,3,False,0.1848467826843265,0.3946962356567383,-0.3662819534626542,0.9000000000000004,0.0,-3.141592653589793,0.0,0.0,0.8168410143219786
L1,10,0,4,False,0.187684917449951,0.4926090240478515,0.6796538224092066,0.8999999999999999,0.0,-3.141592653589793,0.0,0.0,0.8660579815472286
L1,10,0,5,False,0.1988247871398925,0.3687759637832641,-0.7012056595612965,0.8999999999999999,0.0,-3.141592653589793,0.0,0.0,0.7922388469355011
L1,10,0,6,False,0.2540740013122557,0.4186780452728271,-0.4094357426981283,0.8999999999999999,0.0,-3.141592653589793,0.0,0.0,0.7697478167388558
L1,10,0,7,False,0.2352739810943602,0.4551057815551758,-0.5672758755507005,0.8999999999999999,0.0,-3.141592653589793,0.0,0.0,0.8055941612344818
L1,10,0,8,False,0.1938230186700821,0.4078121185302734,0.7095340074181251,0.9,0.0,-3.141592653589793,0.0,0.0,0.8154732693230263
L1,10,0,9,False,0.2022550195455551,0.4163130521774292,-0.3938995651350065,0.9,0.0,-3.141592653589793,0.0,0.0,0.8125051477760991
L1,10,0,10,False,0.2517710268497467,0.4868249893188476,-0.4976099678847683,0.9,0.0,-3.141592653589793,0.0,0.0,0.8106783405622281
L1,10,0,11,False,0.1850490212440491,0.3970460891723633,0.4597133668860615,0.9,0.0,-3.141592653589793,0.0,0.0,0.8178022370666153
L1,10,0,12,False,0.2146038055419921,0.5217220783233643,0.5259097069863595,0.8999999999999999,0.0,-3.141592653589793,0.0,0.0,0.861372085911524
L1,10,0,13,True,0.1666199207305907,0.5242739915847778,0.5490628171244181,0.8999999999999999,0.0,-3.141592653589793,0.0,0.0,0.901504053746538
L1,10,0,14,False,0.1639818191528319,0.4758169651031494,-0.6377152153583494,0.8999999999999999,0.0,-3.141592653589793,0.0,0.0,0.8764271486082263
L1,10,0,15,False,0.1773168087005614,0.4952960014343261,0.0475224857325829,0.8999999999999999,0.0,-3.141592653589793,0.0,0.0,0.8761216376871267
L1,10,0,16,False,0.2303446769714359,0.4170451164245605,-0.3127045596200145,0.9000000000000004,0.0,-3.141592653589793,0.0,0.0,0.7889010589383604
L1,10,0,17,False,0.2261637687683109,0.5191680192947388,-0.3019518426113928,0.9000000000000004,0.0,-3.141592653589793,0.0,0.0,0.8506413455616586
L1,10,0,18,False,0.2481221199035648,0.3972799777984619,-0.2098288180617772,0.9000000000000004,0.0,-3.141592653589793,0.0,0.0,0.7633977674309568
L1,10,0,19,False,0.1831196784973148,0.5257019996643066,-0.7466836046002938,0.9000000000000004,0.0,-3.141592653589793,0.0,0.0,0.8889769332265289
L1,10,1,0,False,0.2172941207885745,0.4573931694030761,-0.1651015158462462,0.9000000000000004,0.0,-3.141592653589793,0.0,0.0,0.8217638522875274
L1,10,1,1,False,0.1824120521545413,0.3855199813842773,0.5747378595309504,0.9000000000000004,0.0,-3.141592653589793,0.0,0.0,0.8145907677721316
L1,10,1,2,False,0.1714281082153324,0.5073568820953369,0.5496864906198374,0.9000000000000004,0.0,-3.141592653589793,0.0,0.0,0.8878220583586508
L1,10,1,3,False,0.1749757766723636,0.4267182350158691,0.0171122016657466,0.9000000000000004,0.0,-3.141592653589793,0.0,0.0,0.8412779424820915
L1,10,1,4,False,0.1933609485626219,0.4393801689147949,-0.1575027950115336,0.8999999999999999,0.0,-3.141592653589793,0.0,0.0,0.8321019660185349
L1,10,1,5,False,0.1675359249114989,0.4352719783782959,-0.1667170575026677,0.8999999999999999,0.0,-3.141592653589793,0.0,0.0,0.8520359830761897
L1,10,1,6,False,0.2462009429931639,0.4790699481964111,-0.3527845265882391,0.8999999999999999,0.0,-3.141592653589793,0.0,0.0,0.8105314443054877
L1,10,1,7,False,0.1881839275360106,0.4483060836791992,0.7326613794351938,0.8999999999999999,0.0,-3.141592653589793,0.0,0.0,0.8412255736018969
L1,10,1,8,False,0.1895230203866958,0.4814028739929199,-0.249825275540417,0.9,0.0,-3.141592653589793,0.0,0.0,0.8582110845526796
L1,10,1,9,True,0.2300090283155441,0.4239000082015991,0.1779848848147811,0.9,0.0,-3.141592653589793,0.0,0.0,0.7928298172319184
L1,10,1,10,True,0.1902270257472992,0.4055670499801636,0.0939025020173424,0.9,0.0,-3.141592653589793,0.0,0.0,0.8174731231111746
L1,10,1,11,False,0.2108750283718109,0.5242757797241211,-0.2694444170422113,0.9,0.0,-3.141592653589793,0.0,0.0,0.8658858583710024
L1,10,1,12,False,0.2207159042358397,0.4951591491699219,0.2612219413230898,0.8999999999999999,0.0,-3.141592653589793,0.0,0.0,0.8406006577232816
L1,10,1,13,True,0.2067669868469237,0.4058239459991455,-0.245826587948071,0.8999999999999999,0.0,-3.141592653589793,0.0,0.0,0.8032839383876728
L1,10,1,14,False,0.1715599536895751,0.500485897064209,0.1038947225015439,0.8999999999999999,0.0,-3.141592653589793,0.0,0.0,0.883804862075843
L1,10,1,15,False,0.2172888755798339,0.4481501579284668,-0.1648645981319725,0.8999999999999999,0.0,-3.141592653589793,0.0,0.0,0.8166596864412723
L1,10,1,16,False,0.2110609054565433,0.4170951843261719,0.3938201099598278,0.9000000000000004,0.0,-3.141592653589793,0.0,0.0,0.8053604589116862
L1,10,1,17,False,0.1756137847900394,0.4041659832000732,-0.6380566608904196,0.9000000000000004,0.0,-3.141592653589793,0.0,0.0,0.829509210776043
L1,10,1,18,False,0.170983695983887,0.4796450138092041,-0.5531634563651477,0.9000000000000004,0.0,-3.141592653589793,0.0,0.0,0.8726534883866252
L1,10,1,19,False,0.1913436889648441,0.3975820541381836,-0.3721557868287579,0.9000000000000004,0.0,-3.141592653589793,0.0,0.0,0.8125670784265713
L1,10,2,0,False,0.2564758300781253,0.3790750503540039,0.384070275959769,0.9000000000000004,0.0,-3.141592653589793,0.0,0.0,0.7468743208027231
L1,10,2,1,False,0.215717697143555,0.513401985168457,-0.7427004243514954,0.9000000000000004,0.0,-3.141592653589793,0.0,0.0,0.8554670469266671
L1,10,2,2,False,0.2324956893920902,0.410612940788269,-0.2036175756507273,0.9000000000000004,0.0,-3.141592653589793,0.0,0.0,0.7836867944676189
