level,n_demos,sr_best,sr_best_step,sr_last,episodes,successes,ci_lo,ci_hi,n_checkpoints
L0,10,0.99,80000,0.99,100,99,0.9455124752390653,0.9982326134344526,1
L0,25,0.99,80000,0.99,100,99,0.9455124752390653,0.9982326134344526,1
L0,50,1.0,80000,1.0,100,100,0.9630051925239981,0.9999999999999999,1
L0,100,1.0,80000,1.0,100,100,0.9630051925239981,0.9999999999999999,1
L0,200,1.0,80000,1.0,100,100,0.9630051925239981,0.9999999999999999,1
L0,400,1.0,80000,1.0,100,100,0.9630051925239981,0.9999999999999999,1
L1,10,0.58,80000,0.58,100,58,0.4820630799889527,0.672017750814887,1
L1,25,0.81,80000,0.81,100,81,0.7222097592919214,0.8748534600729574,1
L1,50,0.95,80000,0.95,100,95,0.8882480347279118,0.9784566385436864,1
L1,100,0.97,80000,0.97,100,97,0.915479219195973,0.9897456617765851,1
L1,200,0.98,80000,0.98,100,98,0.9299868370580063,0.9944981477650318,1
L1,400,0.96,80000,0.96,100,96,0.9016278276739262,0.984336949448152,1
L2,10,0.41,80000,0.41,100,41,0.31867157095664655,0.5079874943890338,1
L2,25,0.63,80000,0.63,100,63,0.5322034757513312,0.7181778743049083,1
L2,50,0.88,80000,0.88,100,88,0.8018773199709163,0.9300066263473222,1
L2,100,0.94,80000,0.94,100,94,0.8752303146877748,0.9722142547333433,1
L2,200,0.98,80000,0.98,100,98,0.9299868370580063,0.9944981477650318,1
L2,400,0.95,80000,0.95,100,95,0.8882480347279118,0.9784566385436864,1
L3b,10,0.305,80000,0.305,200,61,0.24536314352669053,0.3719867987814547,1
L3b,25,0.51,80000,0.51,200,102,0.441184632709161,0.5784384471724727,1
L3b,50,0.605,80000,0.605,200,121,0.5358822087449843,0.6701601300121683,1
L3b,100,0.78,80000,0.78,200,156,0.7176107720803744,0.8318354646053661,1
L3b,200,0.92,80000,0.92,200,184,0.8740095102048769,0.9501598448237337,1
L3b,400,0.84,80000,0.84,200,168,0.7828581380609876,0.8843265779145542,1
