submitted_at,stage,task,arm,key,stem,n_demos,slice,seed,trials,sbatch,walltime,slurm_jobid,notes
2026-09-18T06:20:32,eval,T1,ctl_L1,ctl_L1,,100,2,,,slurm/eval.sbatch,01:00:00,58085316,launch_wave.py | suffix=g2bctl warmup_batches=1 warmup_max_steps=0 slices=10 env_arm=L1
2026-09-18T06:20:39,eval,T1,ctl_L1,ctl_L1,,100,3,,,slurm/eval.sbatch,01:00:00,58085326,launch_wave.py | suffix=g2bctl warmup_batches=1 warmup_max_steps=0 slices=10 env_arm=L1
2026-09-18T06:20:41,eval,T1,ctl_L1,ctl_L1,,100,4,,,slurm/eval.sbatch,01:00:00,58085328,launch_wave.py | suffix=g2bctl warmup_batches=1 warmup_max_steps=0 slices=10 env_arm=L1
2026-09-18T06:20:43,eval,T1,ctl_L1,ctl_L1,,100,5,,,slurm/eval.sbatch,01:00:00,58085330,launch_wave.py | suffix=g2bctl warmup_batches=1 warmup_max_steps=0 slices=10 env_arm=L1
2026-09-18T06:20:45,eval,T1,ctl_L1,ctl_L1,,100,6,,,slurm/eval.sbatch,01:00:00,58085331,launch_wave.py | suffix=g2bctl warmup_batches=1 warmup_max_steps=0 slices=10 env_arm=L1
2026-09-18T06:20:46,eval,T1,ctl_L1,ctl_L1,,100,7,,,slurm/eval.sbatch,01:00:00,58085332,launch_wave.py | suffix=g2bctl warmup_batches=1 warmup_max_steps=0 slices=10 env_arm=L1
2026-09-18T06:20:50,eval,T1,ctl_L1,ctl_L1,,100,8,,,slurm/eval.sbatch,01:00:00,58085334,launch_wave.py | suffix=g2bctl warmup_batches=1 warmup_max_steps=0 slices=10 env_arm=L1
2026-09-18T06:20:51,eval,T1,ctl_L1,ctl_L1,,100,9,,,slurm/eval.sbatch,01:00:00,58085335,launch_wave.py | suffix=g2bctl warmup_batches=1 warmup_max_steps=0 slices=10 env_arm=L1
2026-09-18T06:34:29,datagen,T1,AC,ACv00,ACv00,,,1300,40,slurm/datagen.sbatch,00:30:00,58085953,launch_wave.py
2026-09-18T06:34:33,datagen,T1,AC,ACv01,ACv01,,,1301,40,slurm/datagen.sbatch,00:30:00,58085961,launch_wave.py
2026-09-18T06:34:34,datagen,T1,AC,ACv02,ACv02,,,1302,40,slurm/datagen.sbatch,00:30:00,58085968,launch_wave.py
2026-09-18T06:34:37,datagen,T1,AC,ACv03,ACv03,,,1303,40,slurm/datagen.sbatch,00:30:00,58085973,launch_wave.py
2026-09-18T06:34:41,datagen,T1,AC,ACv04,ACv04,,,1304,40,slurm/datagen.sbatch,00:30:00,58085976,launch_wave.py
2026-09-18T06:34:46,datagen,T1,AC,ACv05,ACv05,,,1305,40,slurm/datagen.sbatch,00:30:00,58085977,launch_wave.py
2026-09-18T06:34:47,datagen,T1,AC,ACv06,ACv06,,,1306,40,slurm/datagen.sbatch,00:30:00,58085979,launch_wave.py
2026-09-18T06:34:49,datagen,T1,AC,ACv07,ACv07,,,1307,40,slurm/datagen.sbatch,00:30:00,58085980,launch_wave.py
2026-09-18T06:34:53,datagen,T1,AC,ACv08,ACv08,,,1308,40,slurm/datagen.sbatch,00:30:00,58085981,launch_wave.py
2026-09-18T06:34:55,datagen,T1,AC,ACv09,ACv09,,,1309,40,slurm/datagen.sbatch,00:30:00,58085982,launch_wave.py
2026-09-18T06:34:59,datagen,T1,BC,BCv00,BCv00,,,1400,40,slurm/datagen.sbatch,00:30:00,58085983,launch_wave.py
2026-09-18T06:35:03,datagen,T1,BC,BCv01,BCv01,,,1401,40,slurm/datagen.sbatch,00:30:00,58085990,launch_wave.py
2026-09-18T06:35:07,datagen,T1,BC,BCv02,BCv02,,,1402,40,slurm/datagen.sbatch,00:30:00,58085995,launch_wave.py
2026-09-18T06:35:11,datagen,T1,BC,BCv03,BCv03,,,1403,40,slurm/datagen.sbatch,00:30:00,58085996,launch_wave.py
2026-09-18T06:35:15,datagen,T1,BC,BCv04,BCv04,,,1404,40,slurm/datagen.sbatch,00:30:00,58085997,launch_wave.py
2026-09-18T06:35:16,datagen,T1,BC,BCv05,BCv05,,,1405,40,slurm/datagen.sbatch,00:30:00,58085998,launch_wave.py
2026-09-18T06:35:23,datagen,T1,BC,BCv06,BCv06,,,1406,40,slurm/datagen.sbatch,00:30:00,58086000,launch_wave.py
