task,level,n_demos,batch,env,success,variant,obj_x,obj_y,obj_yaw,goal_x,goal_y,local_rej,nn_demo_dist,cab_x,cab_y,cab_dyaw,bearing
T1,L1,400,0,0,True,-1,0.4199199676513672,0.06320595741271973,0.015568162379218905,0.5,0.25,0.19999999999999996,0.3575149724281647,,,,
T1,L1,400,0,1,True,-1,0.5251350402832031,-0.23926901817321777,-0.6328264991137028,0.5,0.25,0.12,0.16332556104234658,,,,
T1,L1,400,0,2,True,-1,0.5539398193359375,-0.2344609498977661,0.9449733329048506,0.5,0.25,0.040000000000000036,0.3566214571004273,,,,
T1,L1,400,0,3,True,-1,0.45444822311401367,-0.1770169734954834,-1.496712218063705,0.5,0.25,0.16000000000000003,0.171960860125994,,,,
T1,L1,400,0,4,True,-1,0.3772261142730713,-0.04526996612548828,-0.7794043740082593,0.5,0.25,0.19999999999999996,0.22430896724528396,,,,
T1,L1,400,0,5,True,-1,0.47615504264831543,-0.1391589641571045,-0.8314973599042816,0.5,0.25,0.12,0.28759304691716686,,,,
T1,L1,400,0,6,True,-1,0.42728304862976074,0.06062805652618408,0.04037873397655124,0.5,0.25,0.12,0.3350497529522508,,,,
T1,L1,400,0,7,True,-1,0.422792911529541,-0.09509611129760742,1.3049151300091353,0.5,0.25,0.16000000000000003,0.4479629493075282,,,,
T1,L1,400,0,8,True,-1,0.5408880114555359,-0.06334304809570312,-0.019350297280012925,0.5,0.25,0.16000000000000003,0.3139169314541415,,,,
T1,L1,400,0,9,True,-1,0.5538560152053833,-0.12046194076538086,0.152052376545993,0.5,0.25,0.24,0.2673367401828058,,,,
T1,L1,400,0,10,True,-1,0.44010499119758606,0.1084059476852417,1.0659546578986474,0.5,0.25,0.0,0.32348492745967306,,,,
T1,L1,400,0,11,True,-1,0.4031830132007599,0.13948488235473633,1.302472530594698,0.5,0.25,0.040000000000000036,0.07729283255364401,,,,
T1,L1,400,0,12,True,-1,0.5797799825668335,0.01067495346069336,1.1284023824029665,0.5,0.25,0.16000000000000003,0.23806491274161837,,,,
T1,L1,400,0,13,True,-1,0.4009718894958496,-0.15812504291534424,-0.6823677467173213,0.5,0.25,0.12,0.3143032200976965,,,,
T1,L1,400,0,14,True,-1,0.5238549709320068,0.0455399751663208,-0.48376561798232187,0.5,0.25,0.040000000000000036,0.3328499360235524,,,,
T1,L1,400,0,15,True,-1,0.3610808849334717,-0.12740588188171387,-0.015920163079544684,0.5,0.25,0.040000000000000036,0.27883089718476517,,,,
T1,L1,400,0,16,True,-1,0.45041990280151367,0.1068270206451416,0.23924828958745656,0.5,0.25,0.12,0.021629324279372128,,,,
T1,L1,400,0,17,True,-1,0.5561962127685547,0.07948100566864014,-0.14329450257217033,0.5,0.25,0.040000000000000036,0.1143255923550347,,,,
T1,L1,400,0,18,False,-1,0.4355959892272949,-0.21647202968597412,0.7198798286723781,0.5,0.25,0.19999999999999996,0.4216675854544602,,,,
T1,L1,400,0,19,True,-1,0.48358583450317383,0.014761924743652344,-0.04609005527130035,0.5,0.25,0.12,0.2342795871892509,,,,
T1,L1,400,1,0,True,-1,0.5210747718811035,0.0013260841369628906,-1.169778220476784,0.5,0.25,0.12,0.19773385845433705,,,,
T1,L1,400,1,1,True,-1,0.3646879196166992,0.041484951972961426,0.18364795272066375,0.5,0.25,0.16000000000000003,0.37169916437742234,,,,
T1,L1,400,1,2,True,-1,0.47469615936279297,0.06585800647735596,0.7740279944009231,0.5,0.25,0.07999999999999996,0.2593050206244246,,,,
