level,n_demos,sr_best,sr_best_step,sr_last,episodes,successes,ci_lo,ci_hi,n_checkpoints
L0,10,0.65,80000,0.65,100,65,0.5525426042919797,0.7363589534652197,1
L0,25,0.93,80000,0.93,100,93,0.8625032899347025,0.965681175635936,1
L0,50,0.94,80000,0.94,100,94,0.8752303146877748,0.9722142547333433,1
L0,100,0.9,80000,0.9,100,90,0.8256326956323347,0.9447714583868639,1
L0,200,0.94,80000,0.94,100,94,0.8752303146877748,0.9722142547333433,1
L0,400,0.96,80000,0.96,100,96,0.9016278276739262,0.984336949448152,1
L1,10,0.12,80000,0.12,100,12,0.06999337365267776,0.19812268002908368,1
L1,25,0.22,80000,0.22,100,22,0.15001174503655804,0.3107053471500031,1
L1,50,0.19,80000,0.19,100,19,0.1251465399270426,0.27779024070807856,1
L1,100,0.3,80000,0.3,100,30,0.21894753866228117,0.39585038432811953,1
L1,200,0.25,80000,0.25,100,25,0.1754509400372426,0.3430464637007583,1
L1,400,0.23,80000,0.23,100,23,0.15843154746876406,0.32154564856827694,1
L2,10,0.17,80000,0.17,100,17,0.10893476059773155,0.25548181233642975,1
L2,25,0.11,80000,0.11,100,11,0.06254131955225126,0.18631463027903022,1
L2,50,0.35,80000,0.35,100,35,0.2636410465347802,0.4474573957080203,1
L2,100,0.32,80000,0.32,100,32,0.2366901081545688,0.4166280225367919,1
L2,200,0.29,80000,0.29,100,29,0.21014706973984146,0.38539074940007934,1
L2,400,0.41,80000,0.41,100,41,0.31867157095664655,0.5079874943890338,1
L3,10,0.045,80000,0.045,200,9,0.023852271724704166,0.08329759366096785,1
L3,25,0.09,80000,0.09,200,18,0.05768697871453362,0.13776674613848952,1
L3,50,0.065,80000,0.065,200,13,0.03837598764975976,0.10802003749917945,1
L3,100,0.11,80000,0.11,200,22,0.07377190160716048,0.16092798300912986,1
L3,200,0.17,80000,0.17,200,34,0.12427835351105657,0.22816001039503528,1
L3,400,0.14,80000,0.14,200,28,0.09866918625271481,0.19489993800847627,1
