axis,chi2_off,chi2_on,ci_hi,ci_lo,crit95,delta,df,episodes,k_off,k_on,off_arm,on_arm,overdispersed,task
A,105.17742873763808,314.3824451410658,-0.20213214509270097,-0.2579384094732378,11.07,-0.22999999999999998,5,1200,1146,870,L0,L1,True,T1
B,314.3824451410658,405.2055590528304,-0.044500474597344984,-0.11852273830652749,11.07,-0.08166666666666667,5,1200,870,772,L1,L2,True,T1
C,405.2055590528304,465.8515658515659,0.025123180980369267,-0.05173452771508282,11.07,-0.013333333333333308,5,1200,772,756,L2,L3b,True,T1
A,55.77615232787646,27.703395023899994,-0.5941214039547826,-0.6563901118306258,11.07,-0.6266666666666667,5,1200,957,205,L0,L1,True,T2
B,27.703395023899994,46.49368541905856,0.021516853231294996,-0.03817584310209765,11.07,-0.008333333333333331,5,1200,205,195,L1,L2,True,T2
C,46.49368541905856,24.08534747754807,-0.017250772999196168,-0.07276513919048672,11.07,-0.04500000000000001,5,1200,195,141,L2,L3b,True,T2
A,15.05084745762707,223.0433684210526,-0.1678937612643919,-0.2162636120352594,11.07,-0.19166666666666665,5,1200,1180,950,L0,L1,True,T3
B,223.0433684210526,365.92095425697886,-0.041399244543615314,-0.11004508206785252,11.07,-0.07583333333333331,5,1200,950,859,L1,L2,True,T3
C,365.92095425697886,282.9388721643511,-0.007283066799098813,-0.08088621140043795,11.07,-0.04416666666666669,5,1200,859,806,L2,L3b,True,T3
