env,lerobot,backend,num_workers,batch,steps,updt_s,data_s,steady_steps_per_s,est_80k_h,peak_vram_mib,median_util_pct,final_loss
cog_lerobot,0.4.4,pyav,8,64,150,0.071,0.388,2.18,10.2,13480,0,0.266
cog_lerobot,0.4.4,pyav,16,64,150,0.070,0.386,2.19,10.1,13656,0,0.266
cog_lerobot,0.4.4,torchcodec,8,64,150,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,rc1
cog_lerobot,0.4.4,torchcodec,8,64,150,0.069,0.003,13.89,1.6,13546,0,0.266
