axis,chi2_full,chi2_reduced,ci_hi,ci_lo,crit95,delta,df,episodes,k_full,k_reduced,overdispersed,removed_arm,task
A,465.8515658515659,390.7181571815717,0.2245760475224085,0.1548007971905706,11.07,0.18999999999999995,5,1200,756,984,True,BC,T1
B,465.8515658515659,644.752623688156,0.022113772858251307,-0.05537662045258514,11.07,-0.01666666666666672,5,1200,756,736,True,AC,T1
C,465.8515658515659,405.2055590528304,0.05173452771508282,-0.025123180980369267,11.07,0.013333333333333308,5,1200,756,772,True,L2,T1
A,24.08534747754807,415.8885802429627,0.5950204544454418,0.5309703235421495,11.07,0.5641666666666667,5,1200,141,818,True,BC,T2
B,24.08534747754807,41.60742782533004,0.06237413262477735,0.007647820776441369,11.07,0.035,5,1200,141,183,True,AC,T2
C,24.08534747754807,46.49368541905856,0.07276513919048672,0.017250772999196168,11.07,0.04500000000000001,5,1200,141,195,True,L2,T2
A,282.9388721643511,121.66907482814483,0.18969187691006795,0.12151737622761573,11.07,0.15583333333333338,5,1200,806,993,True,BC,T3
B,282.9388721643511,217.67804774479487,0.06699879225101457,-0.0071122655459765,11.07,0.030000000000000027,5,1200,806,842,True,AC,T3
C,282.9388721643511,365.92095425697886,0.08088621140043795,0.007283066799098813,11.07,0.04416666666666669,5,1200,806,859,True,L2,T3
